"","linenumber","sentiment","overall","date","Content"
"1",1,0,"Negative","01/04/10","SAN FRANCISCO (MarketWatch) -- The U.S. dollar extended its losses Monday following a stronger-than-expected report on December manufacturing. The U.S. dollar index 
        DXY,
        -0.06%
       traded at 77.369 versus 77.423 ahead of the midmorning data and down about 0.6% from 77.867 late Thursday. One euro bought $1.4432, up about 0.7%. The U.S. dollar traded at 92.51 yen, down 0.6%. The U.S. dollar was under pressure earlier after Federal Reserve officials signaled interest rates would stay low for the foreseeable future, while economic reports from China and the U.K. suggested overseas strength."
"2",2,2,"Positive","01/04/10","NEW YORK (MarketWatch) -- Gold futures climbed 2% on Monday to end near $1,120 an ounce as the U.S. dollar weakened, raising the metal's investment appeal."
"3",3,-3,"Negative","01/04/10","NEW YORK (MarketWatch) -- Crude-oil futures rose more than 2% Monday to climb above $81 a barrel for the first time in two months, boosted by upbeat economic data in the U.S. and China and by a weaker dollar. Natural gas rallied on concerns that cold weather will push up demand."
"4",4,-1,"Negative","01/04/10","NEW YORK (MarketWatch) -- Investors began 2010 on a buying spree Monday, pushing stocks and other risky assets sharply higher amid strong manufacturing data and comments from Federal Reserve officials favoring low interest rates."
"5",5,2,"Positive","01/04/10","NEW YORK (MarketWatch) -- The dollar fell against major rivals on Monday after upbeat economic data from the U.K. and China helped offset a strong U.S. report on manufacturing, just as Federal Reserve officials signaled interest rates would stay low for the foreseeable future."
"6",6,-1,"Negative","01/05/10","NEW YORK (MarketWatch) -- U.S. stock futures on Tuesday retreated only slightly from the year's initial advance ahead of data on pending home and car sales."
"7",7,0,"Negative","01/05/10","NEW YORK (MarketWatch) -- The dollar index lost further ground on Tuesday, after the latest round of U.S. economic reports showed a plunge in pending home sales but a bigger-than-expected gain in factory orders in November. The dollar index 
        DXY,
        -0.05%,
       which measures the U.S. unit against a basket of six major currencies, stood at 77.384, down from 77.423 earlier."
"8",8,0,"Negative","01/05/10","SAN FRANCISCO (MarketWatch) -- The U.S. dollar reversed losses against the euro and pared declines against other rivals Tuesday, after a steep drop in pending home sales fueled demand for the greenback as a safe-haven currency. The euro gave up earlier gains, buying $1.4361, down from $1.4411 late in the prior session. The dollar index 
        DXY,
        -0.05%
       rose to 77.654, up from its late Monday level of 77.503 and 77.34 earlier in the session. Dan Cook, senior market analyst at IG Markets, said investors seemed to be focused on a report showing U.S. pending home sales plunged 16% in November from the prior month. ""The dollar is tracking safe-haven play into some strength,"" he said."
"9",9,2,"Positive","01/05/10","NEW YORK (MarketWatch) -- Gold futures reduced most of their earlier gains Tuesday, ending almost flat as the U.S. dollar turned higher after data showed a steep drop in pending home sales, curbing the metal's investment appeal."
"10",10,-1,"Negative","01/05/10","Crude rises for ninth session as investors await data"
"11",11,-1,"Negative","01/05/10","NEW YORK (MarketWatch) -- Stocks fizzled Tuesday following reports of weak sales of homes and autos -- two big-ticket items that set the tone for overall U.S. consumer spending."
"12",12,-1,"Negative","01/05/10","SAN FRANCISCO (MarketWatch) -- The U.S. dollar reversed higher against the euro and pared declines against other rivals Tuesday, after a steep drop in U.S. pending home sales fueled demand for the greenback as a safe-haven currency."
"13",13,-2,"Negative","01/06/10","LONDON (MarketWatch) -- U.S. stock futures were in weaker territory on Wednesday as a payrolls processing firm said employment fell in December, two days ahead of a key government report."
