Date, Open, High, Low, Close,year-weeknum
1/1/2010,77.83,78.02,77.41,77.86,2010-1
1/4/2010,77.92,78.19,77.26,77.53,2010-2
1/5/2010,77.44,77.71,77.09,77.62,2010-2
1/6/2010,77.7,78,77.36,77.49,2010-2
1/7/2010,77.41,78.08,77.3,77.91,2010-2
1/8/2010,77.97,78.19,77.35,77.47,2010-2
1/11/2010,77.32,77.32,76.79,77,2010-3
1/12/2010,77.15,77.31,76.76,76.95,2010-3
1/13/2010,77.11,77.16,76.6,76.85,2010-3
1/14/2010,76.75,77.02,76.67,76.73,2010-3
1/15/2010,76.88,77.41,76.76,77.32,2010-3
1/18/2010,77.3,77.39,77.04,77.06,2010-4
1/19/2010,77,77.69,76.94,77.5,2010-4
1/20/2010,77.53,78.45,77.51,78.34,2010-4
1/21/2010,78.31,78.81,78.13,78.32,2010-4
1/22/2010,78.33,78.53,78.04,78.28,2010-4
1/25/2010,78.24,78.34,78.03,78.19,2010-5
1/26/2010,78.13,78.64,78.08,78.43,2010-5
1/27/2010,78.52,78.85,78.37,78.67,2010-5
1/28/2010,78.8,79.07,78.54,78.9,2010-5
1/29/2010,79.1,79.5,78.85,79.46,2010-5
2/1/2010,79.51,79.53,79.16,79.24,2010-6
2/2/2010,79.23,79.41,78.97,79.01,2010-6
2/3/2010,79,79.46,78.68,79.37,2010-6
2/4/2010,79.46,80.02,79.34,79.92,2010-6
2/5/2010,80.15,80.68,79.94,80.44,2010-6
2/8/2010,80.15,80.52,80.09,80.3,2010-7
2/9/2010,80.4,80.43,79.56,79.86,2010-7
2/10/2010,79.8,80.31,79.66,80.03,2010-7
2/11/2010,79.88,80.5,79.71,79.99,2010-7
2/12/2010,80.11,80.75,79.99,80.32,2010-7
2/15/2010,80.11,80.75,79.99,80.32,2010-8
2/16/2010,80.34,80.42,79.59,79.7,2010-8
2/17/2010,79.66,80.53,79.56,80.38,2010-8
2/18/2010,80.57,81.14,80.19,80.4,2010-8
2/19/2010,81.12,81.34,80.51,80.64,2010-8
2/22/2010,80.48,80.67,80.36,80.51,2010-9
2/23/2010,80.53,80.94,80.53,80.85,2010-9
2/24/2010,80.91,80.94,80.36,80.85,2010-9
2/25/2010,80.84,81.13,80.66,80.79,2010-9
2/26/2010,80.76,80.85,80.12,80.36,2010-9
3/1/2010,80.29,81.26,80.29,80.66,2010-10
3/2/2010,80.88,81.29,80.38,80.52,2010-10
3/3/2010,80.36,80.56,79.82,79.98,2010-10
3/4/2010,80.04,80.67,79.94,80.56,2010-10
3/5/2010,80.56,80.89,80.4,80.43,2010-10
3/8/2010,80.43,80.55,80.08,80.43,2010-11
3/9/2010,80.46,80.86,80.41,80.59,2010-11
3/10/2010,80.6,80.86,80.31,80.44,2010-11
3/11/2010,80.51,80.57,80.24,80.32,2010-11
3/12/2010,80.28,80.33,79.69,79.83,2010-11
3/15/2010,79.77,80.41,79.77,80.25,2010-12
3/16/2010,80.21,80.33,79.63,79.75,2010-12
3/17/2010,79.71,79.83,79.51,79.64,2010-12
3/18/2010,79.75,80.44,79.73,80.22,2010-12
3/19/2010,80.29,80.89,80.23,80.72,2010-12
3/22/2010,80.85,81.08,80.52,80.65,2010-13
3/23/2010,80.56,81.03,80.55,80.9,2010-13
3/24/2010,80.96,82.03,80.89,81.84,2010-13
3/25/2010,81.85,82.24,81.6,82.12,2010-13
3/26/2010,82.03,82.05,81.56,81.68,2010-13
3/29/2010,81.26,81.62,81.16,81.36,2010-14
3/30/2010,81.21,81.56,81,81.47,2010-14
3/31/2010,81.41,81.7,80.89,81.07,2010-14
4/1/2010,81.01,81.25,80.68,80.78,2010-14
4/2/2010,81.01,81.25,80.68,80.78,2010-14
4/5/2010,81.14,81.3,80.92,81.09,2010-15
4/6/2010,81.15,81.64,81.15,81.39,2010-15
4/7/2010,81.44,81.72,81.36,81.44,2010-15
4/8/2010,81.65,81.91,81.45,81.53,2010-15
4/9/2010,81.41,81.58,80.87,81.09,2010-15
4/12/2010,80.49,80.69,80.08,80.56,2010-16
4/13/2010,80.58,80.75,80.27,80.51,2010-16
4/14/2010,80.43,80.49,80.03,80.19,2010-16
4/15/2010,80.19,80.75,80.15,80.48,2010-16
4/16/2010,80.55,80.91,80.47,80.82,2010-16
4/19/2010,80.94,81.28,80.91,81,2010-17
4/20/2010,80.95,81.13,80.76,81.05,2010-17
4/21/2010,81.11,81.33,80.96,81.16,2010-17
4/22/2010,81.21,81.78,81.04,81.57,2010-17
4/23/2010,82,82.07,81.32,81.35,2010-17
4/26/2010,81.51,81.71,81.17,81.48,2010-18
4/27/2010,81.24,82.44,81.24,82.15,2010-18
4/28/2010,82.28,82.71,82.02,82.38,2010-18
4/29/2010,82.32,82.38,81.88,82,2010-18
4/30/2010,81.94,82.09,81.63,81.87,2010-18
5/3/2010,81.63,82.56,81.63,82.27,2010-19
5/4/2010,82.36,83.53,82.29,83.3,2010-19
5/5/2010,83.48,84.31,83.36,84.08,2010-19
5/6/2010,84.14,85.27,83.92,84.89,2010-19
5/7/2010,84.79,85.14,84.32,84.45,2010-19
5/10/2010,83.83,84.38,82.91,84.16,2010-20
5/11/2010,84.46,84.77,84.14,84.47,2010-20
5/12/2010,84.71,84.93,84.2,84.83,2010-20
5/13/2010,84.74,85.46,84.55,85.21,2010-20
5/14/2010,85.42,86.29,85.2,86.09,2010-20
5/17/2010,86.31,87.06,86.05,86.2,2010-21
5/18/2010,86.22,87.38,85.91,87.16,2010-21
5/19/2010,87.42,87.46,86.06,86.39,2010-21
5/20/2010,86.33,86.8,85.4,85.56,2010-21
5/21/2010,85.73,85.98,85.13,85.37,2010-21
5/24/2010,85.42,86.56,85.42,86.21,2010-22
5/25/2010,86.51,87.45,86.33,86.78,2010-22
5/26/2010,86.64,87.38,86.5,87.12,2010-22
5/27/2010,87.22,87.25,86.1,86.19,2010-22
5/28/2010,86.24,86.8,85.85,86.48,2010-22
