"","ARIMA","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"1",-4339.80296903955,-4337.8049098609,-4337.96076269072,-4342.21125825142,-4338.91962841736,-4340.19191711659,-4337.84713366111,-4326.89173351364,-4341.97286261566,-4337.86546126857,-4299.0550393692,-4337.95743540258,-4328.14297795835,-4340.06432367819,-4337.93303483154,-4338.3635464401
"2",-4342.26974741357,-4340.27848068545,-4340.3532933605,-4344.0601371644,-4341.52169876057,-4342.8886621254,-4340.33154587475,-4327.46574673202,-4343.93354659974,-4340.34501699147,-4301.00485564117,-4340.54013478946,-4328.70037177506,-4342.40730681542,-4340.55608383508,-4340.77296238244
"3",-4342.84549536192,-4340.8811304548,-4341.01174943099,-4344.34470486917,-4341.9015418551,-4343.5954003634,-4340.98193019694,-4327.97050734867,-4344.12776839291,-4340.91876585514,-4300.06436905044,-4341.09892513031,-4329.23062131666,-4342.79074738978,-4341.26515059118,-4341.26476668093
"4",-4344.21112185549,-4342.26412330109,-4342.26825362582,-4344.80662613978,-4343.71734870656,-4345.1824662561,-4342.38687022791,-4329.14152638747,-4344.68930630239,-4342.46941536521,-4304.09025088871,-4342.42982283024,-4330.39212497565,-4343.75015712919,-4343.01936322102,-4342.68348222121
"5",-4346.81351016636,-4344.9446428482,-4344.9422158948,-4348.28359027352,-4346.29561050676,-4347.37688369236,-4345.10195650871,-4330.58969189309,-4348.04530831228,-4344.98262470774,-4305.67932336739,-4345.15733093943,-4332.06900156648,-4346.17336465872,-4345.13146707286,-4345.44376927166
"6",-4344.33387933959,-4342.57303990693,-4342.53243024701,-4346.45848082522,-4343.65989434216,-4344.62956098082,-4342.8021344789,-4339.74091942954,-4346.34031701168,-4342.40155605034,-4311.92277380223,-4342.68401634594,-4340.20670802141,-4343.91619228144,-4342.66719015613,-4343.05086071294
"7",-4353.94447038359,-4352.04660624567,-4352.12994014562,-4356.38129167604,-4353.21650874156,-4354.79626876252,-4352.21820462213,-4341.1894607478,-4355.62622698311,-4352.11050913389,-4313.76750711082,-4352.23975965384,-4341.24273108828,-4353.80929846263,-4352.56230809289,-4352.5523346181
"8",-4351.07663534531,-4349.16665477036,-4349.55176674314,-4353.97876088232,-4350.7177300128,-4351.42051471505,-4349.31971798432,-4338.53340782994,-4353.17792905746,-4349.34260209494,-4310.29726039179,-4349.40490794252,-4338.77152174218,-4350.93718509064,-4349.78420820719,-4349.68337227644
"9",-4354.15158108942,-4352.2090774533,-4352.45642408027,-4356.54592564494,-4353.80362515547,-4354.78164369955,-4352.350802372,-4338.6732761474,-4355.65792703176,-4352.48354652807,-4310.01977161439,-4352.50797909949,-4338.68562562698,-4353.51378605615,-4352.76386697245,-4352.50818405562
"10",-4354.78399094931,-4352.83153468392,-4352.96462362914,-4356.57839098032,-4354.58150208744,-4355.98158850609,-4353.0909045014,-4342.1322422496,-4355.43505144482,-4353.37064614332,-4313.49508260153,-4353.20060285435,-4342.52455309507,-4354.23763492174,-4353.55153151244,-4353.02995737232
"11",-4357.86283732031,-4355.88917463631,-4356.57934805011,-4360.55044297834,-4357.49263905909,-4357.94043028784,-4356.11365666336,-4347.25588415062,-4359.1317082592,-4356.34321336931,-4325.48842549139,-4356.16147561107,-4347.43647681895,-4357.83694266265,-4356.53150077591,-4356.27643199218
"12",-4368.62787850563,-4366.63825019451,-4367.40673866785,-4371.90606383416,-4368.28081311362,-4368.54383519058,-4366.87050385492,-4353.59479342226,-4370.70011534468,-4367.15965106935,-4324.46944105236,-4367.02968712673,-4354.6977685287,-4368.74195248114,-4367.37575356828,-4366.78517151763
"13",-4365.53052976466,-4363.56084200661,-4364.4039026134,-4369.04136205918,-4365.15508751327,-4365.06294119357,-4363.87930206423,-4351.54763154222,-4367.85579467535,-4363.96672325269,-4327.75767414528,-4364.12197689666,-4352.51818881931,-4365.87357610592,-4364.18848285428,-4363.90706269721
"14",-4370.19184709296,-4368.20421689307,-4369.30926941405,-4373.45122603393,-4369.57481636273,-4369.64630498372,-4368.47499116114,-4355.89482455927,-4372.14279606134,-4368.42224271214,-4329.2405664797,-4369.00788164248,-4356.81258696256,-4370.51027329956,-4368.52523491833,-4368.78324359244
"15",-4373.85919144907,-4371.8786867946,-4372.90960229494,-4377.04412477162,-4373.41562879844,-4373.35845173845,-4372.18001640523,-4367.37523395806,-4375.82900925974,-4372.21615111949,-4343.52429455092,-4372.57082914719,-4368.62378559502,-4374.26473888407,-4372.30958841962,-4372.46272947344
"16",-4388.7561991235,-4386.76910830014,-4387.05078100537,-4390.31318200752,-4387.57937192801,-4390.39058601055,-4386.91453494069,-4373.69993304381,-4389.8028760747,-4386.84096092129,-4344.33876778463,-4387.31203739194,-4375.02762825917,-4388.60711329438,-4387.1231947033,-4387.03087242748
"17",-4389.83392032287,-4387.84222596337,-4388.14032227264,-4391.69623838165,-4388.49912143553,-4391.48867538305,-4388.0404001562,-4375.15986024031,-4391.1991345079,-4387.86665648162,-4347.97486336302,-4388.50709072191,-4376.87872964172,-4389.857102691,-4388.04467396908,-4388.10434123112
