"","ARIMA","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"1",-3250.03496741018,-3248.08646378457,-3249.50574920709,-3254.45125849379,-3251.57867587065,-3248.03499361703,-3248.07405036615,-3233.24659938501,-3254.42529005715,-3249.06317294838,-3209.06404839928,-3248.65298104272,-3235.39519416147,-3250.52593967789,-3249.3537911326,-3250.47182099588
"2",-3246.39261816469,-3244.39283024153,-3245.03523432574,-3249.85808434329,-3247.29916526662,-3244.61980631479,-3244.3968357802,-3227.53822445777,-3249.66549974699,-3245.47538232186,-3204.67256721505,-3244.8717670192,-3229.81404086295,-3246.51606868686,-3246.16024000461,-3246.10897300623
"3",-3247.54113849996,-3245.58287640207,-3246.75180932722,-3251.42051527718,-3248.61675564741,-3245.64751434796,-3245.61431304341,-3229.49090725762,-3250.97161494606,-3246.89416151651,-3204.90432007933,-3246.42065045153,-3230.97053869548,-3248.08799723452,-3247.43495733568,-3247.30174398415
"4",-3242.38827873624,-3240.43898253619,-3241.05375472211,-3244.58319226434,-3244.44864556832,-3240.83528596017,-3240.4714047238,-3224.56838313363,-3244.59969121494,-3242.54695605392,-3203.3156606948,-3241.20480992795,-3226.34724226366,-3242.32720218459,-3243.07622424851,-3241.58254807817
"5",-3244.82434475255,-3242.87557019724,-3243.56690332219,-3248.30658286329,-3246.78734390715,-3243.19259886661,-3242.91564667939,-3226.12837780339,-3248.05218613475,-3244.78642290011,-3204.68211159171,-3243.63431014771,-3228.11049230883,-3245.01368934028,-3245.19590217574,-3244.32025606978
"6",-3246.17598570619,-3244.24177635362,-3244.95606833147,-3249.84443322022,-3248.40891751739,-3244.65668918366,-3244.3128323361,-3238.15952966247,-3249.80342005299,-3246.08669442172,-3214.6965393155,-3244.92091547996,-3239.19767356331,-3246.42675629863,-3246.40066804622,-3245.58213923007
"7",-3254.14372677734,-3252.14513695195,-3253.0922355071,-3258.72883111865,-3255.81502098928,-3252.91456352879,-3252.17801050206,-3237.8707309896,-3258.1207718171,-3253.99748916127,-3214.780956317,-3252.73938378278,-3238.84225066694,-3255.61241718186,-3254.45566860738,-3253.36961608998
"8",-3253.29477375824,-3251.29689614399,-3252.25444371831,-3257.92473393383,-3255.04443704771,-3252.3109121321,-3251.311580565,-3236.86232366628,-3257.54501802768,-3253.31685183564,-3213.29803249936,-3251.8570530708,-3237.64534526844,-3254.31939864909,-3253.56079873786,-3252.09182663604
"9",-3253.28124784638,-3251.34489840804,-3252.10938916187,-3256.65131983541,-3255.48099174,-3252.7267638965,-3251.28424401722,-3234.4496725501,-3256.36799613631,-3253.75084693162,-3210.13937013368,-3251.780531313,-3235.26375455336,-3253.28879537796,-3253.64430338222,-3251.54855132037
"10",-3253.66512957789,-3251.69325444321,-3252.41304099524,-3256.84902082167,-3255.96139069066,-3253.50008059408,-3251.69735422639,-3237.47486638561,-3256.22989061727,-3254.57465277098,-3213.56612142922,-3252.44169111952,-3238.46281785922,-3253.7098097541,-3254.32561499164,-3251.87217943147
