"","ARIMA","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"1",-2161.6179768806,-2160.83946508092,-2163.49847126339,-2166.65106871532,-2162.89013343979,-2160.59312054558,-2160.1245868959,-2144.77102704421,-2166.97482238494,-2160.00237769789,-2119.8446610142,-2161.71053826485,-2147.07136245034,-2162.65061354659,-2160.68363122119,-2165.3429301254
"2",-2160.51334698162,-2159.71235995114,-2162.12220918539,-2164.20958596513,-2162.02182714007,-2159.38274322465,-2158.98932628921,-2141.87429383739,-2164.80308578875,-2158.93597134367,-2117.94905473975,-2161.00211807621,-2143.8207132212,-2161.39873796866,-2160.03922488126,-2163.89926947191
"3",-2153.98023624198,-2152.39206047166,-2155.61339901558,-2156.07144888311,-2156.79376425375,-2152.16786639011,-2152.24582154558,-2135.85144915289,-2157.11196490898,-2152.81674089858,-2109.57067706136,-2154.12422711096,-2136.86536512615,-2153.7948232891,-2153.59811647791,-2156.27024202822
"4",-2151.8659340457,-2150.33620190285,-2152.61437236166,-2152.69260474616,-2155.09118219435,-2150.02818746283,-2150.22639044668,-2133.4003221782,-2153.64913292783,-2151.27495232521,-2110.34260557172,-2152.17296769468,-2134.44541182923,-2151.0946912802,-2152.61708246158,-2154.12901820581
"5",-2152.17061994244,-2151.28561331516,-2152.73532119176,-2155.12339520308,-2155.10994717154,-2150.31875964239,-2150.8664290352,-2132.86389543574,-2155.75249364742,-2151.45615643055,-2109.63402452142,-2152.55165563286,-2134.18340879454,-2151.94307635603,-2152.03084688948,-2154.36136556009
"6",-2151.17446240893,-2151.1459667576,-2152.16104057613,-2154.80399575386,-2155.08178583001,-2149.39508318663,-2150.36495254236,-2142.55243238926,-2155.17280075206,-2150.72062213289,-2117.29230357439,-2151.89560908338,-2143.4281842334,-2150.75957168672,-2150.69265505685,-2153.58286998232
"7",-2160.31212258482,-2159.89973543742,-2161.68621084993,-2165.57083326071,-2164.27775105676,-2158.47766476751,-2159.13460434062,-2143.1942947514,-2165.08754195638,-2160.21997619848,-2119.11759488087,-2160.67528050794,-2143.75547410866,-2161.11363944113,-2160.33287680723,-2162.49699133388
"8",-2155.44300043853,-2154.54293230708,-2156.54492420491,-2160.58715379482,-2159.32262779572,-2153.54989662928,-2153.99176201393,-2137.82444043308,-2160.33375035499,-2155.7283078192,-2113.31727118523,-2155.5159756161,-2138.53406125484,-2156.77984750385,-2156.98862693284,-2157.08818036884
"9",-2153.01597252769,-2151.5095903368,-2153.51886986669,-2157.41402917037,-2157.33512839657,-2151.13283477271,-2151.21804861856,-2133.31776216756,-2157.09740191389,-2153.83304481581,-2108.05846590647,-2152.38490761291,-2133.71455733329,-2153.26003264797,-2154.37152550564,-2153.68571999147
"10",-2152.35467869282,-2151.26570318363,-2152.99118776664,-2156.90524872831,-2155.69980795454,-2150.50793839292,-2151.14930959483,-2135.42434684754,-2156.20298545838,-2152.74026164091,-2110.55800123843,-2152.21747137687,-2135.61897291865,-2153.13244347009,-2153.31352702283,-2152.85900539159
"11",-2155.12264812746,-2154.05317753738,-2157.5115112508,-2160.77570707325,-2158.77886502849,-2153.67425178749,-2153.9626186399,-2140.33479752681,-2160.19647375094,-2155.44254368908,-2122.49494338667,-2154.82896095151,-2140.34819691666,-2156.80929009399,-2156.13092854283,-2156.17892488392
"12",-2163.3352104521,-2162.09491411879,-2166.07680901315,-2170.06648619182,-2167.34589240727,-2162.17457877218,-2162.05279619734,-2144.04482929007,-2170.25010595504,-2163.87401519922,-2119.6013110566,-2162.90591113623,-2144.49393070012,-2165.58482062323,-2165.25196165115,-2163.26019304543
"13",-2157.63956687652,-2156.16493258145,-2160.21197563553,-2164.54361301689,-2161.26497814209,-2156.44323251512,-2156.13769766622,-2139.6002722335,-2164.39649440034,-2158.03076774104,-2119.19813626202,-2157.28284219072,-2140.03024879094,-2159.58830951184,-2159.4071074878,-2158.00470705718
"14",-2160.42388460795,-2158.91201559731,-2163.39182023391,-2166.46176556049,-2163.35149839059,-2159.2277375974,-2158.87828560888,-2142.2488461292,-2165.66442487292,-2160.36823653245,-2118.28400596486,-2160.22650030467,-2142.4198167681,-2161.79240988731,-2160.99299048424,-2161.39824204208
"15",-2160.93441170896,-2159.26667185567,-2163.86438473469,-2167.35994507042,-2164.08653438227,-2159.57361379314,-2159.27364478715,-2149.85270692144,-2166.68404205617,-2161.17136034618,-2128.73490431984,-2160.24916744567,-2150.51628890515,-2162.54053134234,-2161.58834473817,-2161.86089148964
"16",-2172.15467399261,-2170.19105967485,-2172.34478493143,-2176.09023197409,-2173.16745618994,-2170.15607151881,-2170.2365956815,-2153.44618497946,-2176.39065191761,-2171.14559572867,-2126.31508172996,-2171.16337276416,-2153.84187242606,-2172.80478339987,-2172.44546714504,-2172.16311729194
