"","Date","Close","SWN.SUM","HL.SUM","JKR.SUM","STN.SUM","MPQA.SUM","SWN.AVG","HL.AVG","JKR.AVG","STN.AVG","MPQA.AVG","SWN.PCTG","HL.PCTG","JKR.PCTG","STN.PCTG","MPQA.PCTG"
"1",2017-02-06,99.9,-0.688392857142856,2,-4.05,5.14,-6,-0.086049107142857,0.25,-0.50625,0.6425,-0.75,-0.25,0.25,-0.25,0.25,-0.75
"2",2017-02-07,100.4,-2.44791666666667,4,3.4,11.517,3,-0.349702380952381,0.571428571428571,0.485714285714286,1.64528571428571,0.428571428571429,-0.428571428571429,-0.428571428571429,0.142857142857143,0.714285714285714,-0.142857142857143
"3",2017-02-08,100.17,-0.727083333333333,-1,0.55,4.938,1,-0.145416666666667,-0.2,0.11,0.9876,0.2,0.2,-0.6,0.2,0.2,-0.6
"4",2017-02-09,100.67,1.95833333333333,6,5.2,14.634,4,0.279761904761905,0.857142857142857,0.742857142857143,2.09057142857143,0.571428571428571,-0.142857142857143,0.142857142857143,0.428571428571429,1,0.142857142857143
"5",2017-02-10,100.71,-0.933333333333333,5,1.85,8.809,7,-0.233333333333333,1.25,0.4625,2.20225,1.75,0,1,0.5,0.5,0.5
"6",2017-02-13,101.02,-0.727083333333333,10,6.25,4.981,2,-0.181770833333333,2.5,1.5625,1.24525,0.5,0,1,0.5,1,-0.5
"7",2017-02-14,101.23,1.94935,-2,8.3,5.068,3,0.24366875,-0.25,1.0375,0.6335,0.375,0,-0.75,0.5,0.5,0
"8",2017-02-15,101.09,0.621527777777778,5,5.1,6.926,1,0.207175925925926,1.66666666666667,1.7,2.30866666666667,0.333333333333333,1,1,1,1,-0.333333333333333
"9",2017-02-16,100.5,3.425,3,2.65,4.363,0,0.685,0.6,0.53,0.8726,0,1,-0.2,0.2,0.6,-0.6
"10",2017-02-17,100.95,-0.883333333333333,2,2.65,6.318,1,-0.294444444444444,0.666666666666667,0.883333333333333,2.106,0.333333333333333,-0.333333333333333,0.333333333333333,0.333333333333333,1,-0.333333333333333
"11",2017-02-20,100.95,0.339583333333333,1,5.05,3.454,2,0.113194444444444,0.333333333333333,1.68333333333333,1.15133333333333,0.666666666666667,0.333333333333333,0.333333333333333,1,0.333333333333333,0.333333333333333
"12",2017-02-21,101.44,-0.927083333333333,2,8.75,10.958,2,-0.185416666666667,0.4,1.75,2.1916,0.4,-0.2,-0.2,0.6,1,-0.2
"13",2017-02-22,101.33,-1.16458333333333,8,9.95,24.404,5,-0.232916666666667,1.6,1.99,4.8808,1,0.2,0.6,1,0.6,-0.2
"14",2017-02-23,100.98,0.325000000000001,-5,-3.05,2.363,0,0.0650000000000001,-1,-0.61,0.4726,0,-0.6,-1,-0.6,-0.2,-0.2
"15",2017-02-24,101.12,-0.934226190476187,7,11.45,11.864,6,-0.233556547619047,1.75,2.8625,2.966,1.5,-0.5,0.5,1,0,0
"16",2017-02-27,101.17,-0.822916666666667,4,3.15,10.061,5,-0.164583333333333,0.8,0.63,2.0122,1,-0.2,-0.2,-0.2,1,-0.6
"17",2017-02-28,101.36,1.12708333333333,2,5.1,9.277,7,0.281770833333333,0.5,1.275,2.31925,1.75,1,0,0.5,1,0.5
"18",2017-03-01,101.77,-0.429166666666667,4,10.55,19.681,11,-0.0476851851851852,0.444444444444444,1.17222222222222,2.18677777777778,1.22222222222222,-0.111111111111111,0.333333333333333,0.555555555555556,0.777777777777778,0.333333333333333
"19",2017-03-02,102.15,-0.796874999999999,-2,1.65,12.348,4,-0.113839285714286,-0.285714285714286,0.235714285714286,1.764,0.571428571428571,-0.142857142857143,-0.714285714285714,0.142857142857143,0.428571428571429,-0.142857142857143
"20",2017-03-03,101.54,0.90535714285714,2,12.55,4.073,8,0.150892857142857,0.333333333333333,2.09166666666667,0.678833333333333,1.33333333333333,0,0,0.666666666666667,0.666666666666667,0.333333333333333
"21",2017-03-06,101.7,-0.25,3,2.95,3.959,4,-0.0625,0.75,0.7375,0.98975,1,0,0,0,0.5,0
"22",2017-03-07,101.82,1.8125,-2,-0.15,4.456,3,0.604166666666667,-0.666666666666667,-0.05,1.48533333333333,1,0.333333333333333,-1,0.333333333333333,1,0.333333333333333
"23",2017-03-08,102.12,-2.14375,7,4.1,13.066,6,-0.357291666666667,1.16666666666667,0.683333333333333,2.17766666666667,1,-0.333333333333333,0,0.333333333333333,0.666666666666667,0.333333333333333
"24",2017-03-09,102.03,0.335416666666671,-2,5.55111512312578e-17,12.843,8,0.0559027777777785,-0.333333333333333,9.26992857475106e-18,2.1405,1.33333333333333,0.333333333333333,-0.666666666666667,0.333333333333333,1,0.333333333333333
"25",2017-03-10,101.38,1.12708333333333,1,3.35,9.183,3,0.281770833333333,0.25,0.8375,2.29575,0.75,0.5,0.5,0.5,1,0
"26",2017-03-13,101.37,-0.34166666666667,1,3.15,3.959,5,-0.170833333333335,0.5,1.575,1.9795,2.5,0,0,1,1,0
"27",2017-03-14,101.74,2.86458333333334,0,5.5,10.85,3,0.572916666666667,0,1.1,2.17,0.6,0.6,-0.6,0.2,1,0.2
"28",2017-03-15,100.54,-3.29394841269841,1,11.05,21.205,-4,-0.329394841269841,0.1,1.105,2.1205,-0.4,-0.2,-0.2,0.8,0.8,0
"29",2017-03-16,100.23,4.00099206349207,-1,7.75,15.326,1,0.444554673721341,-0.111111111111111,0.861111111111111,1.70288888888889,0.111111111111111,0.555555555555556,-0.333333333333333,0.333333333333333,0.555555555555556,-0.333333333333333
"30",2017-03-17,100.31,0.20104166666667,3,2.55,12.392,4,0.0502604166666675,0.75,0.6375,3.098,1,-0.5,0,1,1,-0.5
"31",2017-03-20,100.36,-0.383333333333333,-2,1.55,2.588,-2,-0.0958333333333332,-0.5,0.3875,0.647,-0.5,0,0,0,0.5,0
