"","ma1","T1-MA0","AIC","(r,s,b,p,d,q)"
"SWN.SUM","-0.0354"," 0.0000","-6831.46242","(0,0,0,0,1,1)"
"HL.SUM","-0.03127"," 0.00002","-6832.28201","(0,0,0,0,1,1)"
"JKR.SUM","-0.02295"," 0.00007.","-6839.42852","(0,0,0,0,1,1)"
"STN.SUM","-0.0359"," 0.0000","-6831.56028","(0,0,0,0,1,1)"
"MPQA.SUM","-0.03835","-0.00002","-6832.17085","(0,0,0,0,1,1)"
"SWN.AVG","-0.03484"," 0.00011","-6831.77682","(0,0,0,0,1,1)"
"HL.AVG","-0.02814"," 0.00021*","-6819.7484","(0,0,2,0,1,1)"
"JKR.AVG","-0.02475"," 0.00031**","-6839.10539","(0,0,0,0,1,1)"
"STN.AVG","-0.03369"," 0.00007","-6832.50972","(0,0,0,0,1,1)"
"MPQA.AVG","-0.03398"," 0.00021*","-6796.0999","(0,0,5,0,1,1)"
"SWN.PCTG","-0.03497"," 0.00010","-6831.79983","(0,0,0,0,1,1)"
"HL.PCTG","-0.02955"," 0.00036*","-6819.49036","(0,0,2,0,1,1)"
"JKR.PCTG","-0.03017"," 0.00032.","-6834.9064","(0,0,0,0,1,1)"
"STN.PCTG","-0.03468"," 0.00010","-6831.69268","(0,0,0,0,1,1)"
"MPQA.PCTG","-0.03148"," 0.00025","-6833.67121","(0,0,0,0,1,1)"
